timestamp,bybit_funding_rate_00,bybit_funding_rate_08,bybit_funding_rate_16
2020-03-26,0.0001,0.0001,0.0001
2020-03-27,0.0001,0.0001,0.0001
2020-03-28,0.0001,0.0001,0.0001
2020-03-29,0.0001,0.0001,0.0001
2020-03-30,0.0001,0.0001,0.0001
2020-03-31,0.0001,0.0001,0.0001
2020-04-01,0.0001,0.0001,-0.00024535
2020-04-02,-0.00065103,-0.00076413,-0.00063135
2020-04-03,-0.00196465,-0.00375,-0.00198009
2020-04-04,-0.0007468,-0.00021154,9.922e-05
2020-04-05,0.0001,0.0001,0.0001
2020-04-06,0.0001,0.0001,0.0001
2020-04-07,9.599e-05,-7.04e-05,-5.965e-05
2020-04-08,0.0001,4.99e-05,0.0001
2020-04-09,0.0001,0.0001,2.541e-05
2020-04-10,6.698e-05,1.027e-05,0.0001
2020-04-11,0.0001,0.0001,0.0001
2020-04-12,0.0001,0.0001,0.0001
2020-04-13,0.0001,-1.518e-05,-0.00032819
2020-04-14,-0.00029311,-0.00028219,-0.00025537
2020-04-15,-0.00038444,-0.0005306,-0.00049003
2020-04-16,-0.00044288,-0.00055451,-0.00094907
2020-04-17,-0.00070903,-0.00032802,-0.00014941
2020-04-18,-6.622e-05,-9.05e-05,-0.00018915
2020-04-19,-0.00027777,-0.00035332,-0.00025846
2020-04-20,4.56e-06,-1.443e-05,-5.81e-06
2020-04-21,3.59e-05,3.72e-05,5.573e-05
2020-04-22,0.0001,0.0001,-8.38e-06
2020-04-23,-0.00025968,-0.00034008,-0.00029437
2020-04-24,-0.00018968,0.0001,0.0001
2020-04-25,0.0001,0.0001,0.0001
2020-04-26,0.0001,0.0001,0.0001
2020-04-27,0.0001,0.0001,0.0001
2020-04-28,0.0001,0.0001,0.0001
2020-04-29,0.0001,0.0001,0.0001
2020-04-30,0.0001,0.0001,0.0001
2020-05-01,0.0001,0.0001,0.0001
2020-05-02,0.0001,0.0001,0.0001
2020-05-03,0.0001,0.0001,0.0001
2020-05-04,0.0001,0.0001,0.0001
2020-05-05,0.0001,0.0001,0.0001
2020-05-06,0.0001,0.0001,0.0001
2020-05-07,0.0001,0.0001,0.0001
2020-05-08,0.0001,0.0001,0.0001
2020-05-09,0.0001,0.0001,0.0001
2020-05-10,0.0001,0.0001,0.0001
2020-05-11,0.0001,0.0001,0.0001
2020-05-12,0.0001,0.0001,0.0001
2020-05-13,0.0001,0.0001,0.0001
2020-05-14,0.0001,0.0001,0.0001
2020-05-15,0.0001,0.0001,0.0001
2020-05-16,0.0001,0.0001,0.0001
2020-05-17,0.0001,0.0001,0.0001
2020-05-18,0.0001,0.0001,0.0001
2020-05-19,0.0001,0.0001,0.0001
2020-05-20,0.0001,0.0001,0.0001
2020-05-21,0.0001,0.0001,0.0001
2020-05-22,0.0001,0.0001,0.0001
2020-05-23,0.0001,0.0001,0.0001
2020-05-24,0.0001,0.0001,0.0001
2020-05-25,0.0001,0.0001,0.0001
2020-05-26,0.0001,0.0001,0.0001
2020-05-27,0.0001,0.0001,0.0001
2020-05-28,0.0001,8.101e-05,0.0001
2020-05-29,9.316e-05,0.0001,0.0001
2020-05-30,0.0001,0.0001,0.0001
2020-05-31,0.0001,0.0001,0.0001
2020-06-01,0.0001,0.0001,3.059e-05
2020-06-02,0.0001,0.0001,0.0001
2020-06-03,0.0001,0.0001,0.0001
2020-06-04,0.0001,0.0001,0.0001
2020-06-05,0.0001,0.0001,0.0001
2020-06-06,0.0001,0.0001,0.0001
2020-06-07,0.0001,0.0001,0.0001
2020-06-08,0.0001,0.0001,0.0001
2020-06-09,0.0001,0.0001,0.0001
2020-06-10,0.0001,0.0001,0.0001
2020-06-11,0.0001,0.0001,0.0001
