timestamp,bybit_index_open,bybit_index_high,bybit_index_low,bybit_index_close
2020-03-25,6670.01,6956.84,6450.96,6677.77
2020-03-26,6677.77,6778.91,6515.05,6736.25
2020-03-27,6736.25,6843.5,6276.2,6360.41
2020-03-28,6360.41,6360.44,6024.01,6237.11
2020-03-29,6237.11,6266.05,5870.08,5881.23
2020-03-30,5881.23,6599.61,5859.4,6394.21
2020-03-31,6394.21,6519.85,6329.0,6410.63
2020-04-01,6410.63,6678.93,6150.04,6643.03
2020-04-02,6643.03,7221.98,6552.72,6794.2
2020-04-03,6794.2,7044.26,6604.17,6734.19
2020-04-04,6734.19,6990.23,6650.39,6856.94
2020-04-05,6856.94,6896.26,6677.55,6771.99
2020-04-06,6771.99,7352.78,6765.21,7330.09
2020-04-07,7330.09,7456.9,7077.1,7197.46
2020-04-08,7197.46,7420.3,7150.09,7360.33
2020-04-09,7360.33,7371.74,7114.4,7283.52
2020-04-10,7283.52,7294.5,6743.02,6859.82
2020-04-11,6859.82,6943.76,6761.57,6877.27
2020-04-12,6877.27,7178.84,6779.83,6903.66
2020-04-13,6903.66,6903.66,6580.84,6837.72
2020-04-14,6837.72,6976.93,6757.78,6868.21
2020-04-15,6868.21,6932.43,6609.03,6621.47
2020-04-16,6621.47,7190.16,6474.77,7101.64
2020-04-17,7101.64,7146.17,6988.85,7027.81
2020-04-18,7027.81,7293.67,7014.51,7248.95
2020-04-19,7248.95,7263.88,7055.99,7120.51
2020-04-20,7120.51,7213.2,6751.14,6828.76
2020-04-21,6828.76,6939.6,6762.51,6841.57
2020-04-22,6841.57,7155.26,6818.21,7125.8
2020-04-23,7125.8,7743.53,7025.22,7482.46
2020-04-24,7482.46,7609.81,7397.87,7504.68
2020-04-25,7504.68,7702.25,7436.62,7539.61
2020-04-26,7539.61,7700.19,7485.8,7694.4
2020-04-27,7694.4,7791.96,7623.72,7774.61
2020-04-28,7774.61,7779.43,7660.04,7739.31
2020-04-29,7739.31,8953.32,7709.93,8779.09
2020-04-30,8779.09,9456.22,8401.42,8620.83
2020-05-01,8620.83,9057.88,8615.81,8827.23
2020-05-02,8827.23,9010.02,8753.05,8972.12
2020-05-03,8972.12,9192.12,8719.95,8895.29
2020-05-04,8895.29,8950.35,8522.88,8871.69
2020-05-05,8871.69,9106.9,8767.36,9020.29
2020-05-06,9020.29,9394.17,8911.43,9143.28
2020-05-07,9143.28,10066.89,9028.1,9984.59
2020-05-08,9984.59,10032.95,9715.14,9799.85
