timestamp,bybit_mark_open,bybit_mark_high,bybit_mark_low,bybit_mark_close
2020-03-25,6718.21,6955.88,6451.31,6677.77
2020-03-26,6677.77,6779.47,6519.59,6733.91
2020-03-27,6733.91,6842.78,6284.32,6360.13
2020-03-28,6360.13,6360.76,6024.71,6238.38
2020-03-29,6238.38,6266.63,5871.62,5882.8
2020-03-30,5882.8,6599.4,5859.98,6394.55
2020-03-31,6394.55,6520.34,6331.12,6411.5
2020-04-01,6411.5,6678.59,6146.66,6643.61
2020-04-02,6643.61,7198.5,6550.3,6794.15
2020-04-03,6794.15,7032.11,6601.18,6734.19
2020-04-04,6734.19,6988.9,6652.05,6856.94
2020-04-05,6856.94,6896.88,6678.68,6771.99
2020-04-06,6771.99,7350.44,6765.98,7330.21
2020-04-07,7330.21,7454.09,7079.02,7197.46
2020-04-08,7197.46,7420.38,7150.5,7360.33
2020-04-09,7360.33,7371.45,7115.82,7283.8
2020-04-10,7283.8,7294.57,6743.89,6859.82
2020-04-11,6859.82,6943.95,6762.37,6877.25
2020-04-12,6877.25,7179.31,6780.22,6902.9
2020-04-13,6902.9,6903.27,6584.09,6837.77
2020-04-14,6837.77,6973.88,6756.08,6868.21
2020-04-15,6868.21,6930.51,6608.83,6621.52
2020-04-16,6621.52,7189.4,6473.56,7100.31
2020-04-17,7100.31,7146.06,6989.34,7027.32
2020-04-18,7027.32,7292.63,7014.52,7248.38
2020-04-19,7248.38,7261.22,7056.07,7120.85
2020-04-20,7120.85,7211.84,6752.35,6830.28
2020-04-21,6830.28,6939.44,6762.73,6841.8
2020-04-22,6841.8,7152.64,6818.84,7126.16
2020-04-23,7126.16,7733.08,7026.14,7483.5
2020-04-24,7483.5,7609.8,7399.71,7504.68
2020-04-25,7504.68,7702.24,7438.37,7539.26
2020-04-26,7539.26,7700.36,7488.42,7694.41
2020-04-27,7694.41,7791.59,7625.29,7772.37
2020-04-28,7772.37,7780.02,7660.89,7739.29
2020-04-29,7739.29,8952.92,7710.61,8779.09
2020-04-30,8779.09,9455.42,8403.3,8622.36
2020-05-01,8622.36,9057.24,8617.22,8827.17
2020-05-02,8827.17,9010.82,8755.12,8972.12
2020-05-03,8972.12,9191.66,8721.88,8895.29
2020-05-04,8895.29,8950.57,8523.4,8871.69
2020-05-05,8871.69,9105.67,8769.53,9019.84
2020-05-06,9019.84,9394.0,8914.09,9144.58
2020-05-07,9144.58,10058.11,9032.71,9984.59
2020-05-08,9984.59,10033.86,9716.1,9799.85
2020-05-09,9799.85,9912.76,9521.55,9535.86
2020-05-10,9535.86,9568.94,8126.98,8722.65
2020-05-11,8722.65,9157.93,8202.22,8560.89
2020-05-12,8560.89,8974.93,8530.09,8811.23
2020-05-13,8811.23,9396.64,8793.16,9307.55
2020-05-14,9307.55,9938.88,9257.66,9792.42
2020-05-15,9792.42,9846.09,9150.95,9314.67
2020-05-16,9314.67,9587.73,9224.78,9381.17
2020-05-17,9381.17,9884.96,9325.98,9678.91
2020-05-18,9678.91,9950.72,9481.09,9734.0
2020-05-19,9734.0,9898.38,9474.34,9775.21
2020-05-20,9775.21,9840.11,9330.14,9511.44
